name,license_number,address,city,state,zip_code,lat,lon,phone,star_rating,capacity,facility_type,geocoded
AFTON NATURE SCHOOL,68000573,"109 HILLCREST AVENUE, CARRBORO, NC 27510",CARRBORO,NC,27510,35.9205151,-79.0710616,(919) 636-2836,,,Center,True
CARRBORO EARLY SCHOOL,68000264,"310 LLOYD STREET, CARRBORO, NC 27510",CARRBORO,NC,27510,35.9129972,-79.0691353,(919) 929-9998,,,Center,True
CARRBORO ELEMENTARY PRE-K/HEAD START,68000435,"400 SHELTON ST, CARRBORO, NC 27510",CARRBORO,NC,27510,35.915768,-79.0778025,(919) 918-2153,,,Center,True
CARRBORO SCHOOL AGE CARE PROGRAM,6855134,"400 SHELTON ST, CARRBORO, NC 27510",CARRBORO,NC,27510,35.915768,-79.0778025,(919) 968-3652,,,Center,True
COMMUNITY SCHOOL FOR PEOPLE UNDER 6,68000476,"102 HARGRAVES STREET, CARRBORO, NC 27510",CARRBORO,NC,27510,35.908277,-79.0684718,(919) 929-1543,,,Center,True
HAPPY DAY NURSERY AND DAY CARE,6855122,"107 LAUREL AVENUE, CARRBORO, NC 27510",CARRBORO,NC,27510,35.9100857,-79.0767339,(919) 967-2016,,,Center,True
MONTESSORI ACADEMY OF CARRBORO,68000520,"103 LAUREL AVE, CARRBORO, NC 27510",CARRBORO,NC,27510,35.9105877,-79.0767712,(919) 869-7368,,,Center,True
UNC HORIZONS CHILD DEVELOPMENT CENTER,68000530,"410 N GREENSBORO ST SUITE 130, CARRBORO, NC 27510",CARRBORO,NC,27510,35.9099875,-79.0752876,(919) 445-6127,,,Center,True
CAROLINA CREATIVE PLAYSCHOOL,68000524,"8800 SEAWELL SCHOOL RD, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,35.9458113,-79.0738478,(919) 391-4406,,,Center,True
CHAPEL HILL KINDERCARE,6855067,"210 SOUTH ELLIOTT ROAD, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,35.9131542,-79.05578,(919) 942-7223,,,Center,True
CHILD CARE MATTERS INC,68000517,"825 N ESTES DR, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,35.9347761,-79.0549136,(919) 929-8190,,,Center,True
CHILDREN'S CAMPUS OF CHAPEL HILL,68000531,"100 WESTMINSTER DR, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,35.960934,-79.0570496,(919) 240-5254,,,Center,True
CHILDREN'S CAMPUS OF CHAPEL HILL,68000283,"110 KINGSTON DR, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,35.9623602,-79.0519542,(919) 967-5020,,,Center,True
EPHESUS ELEMENTARY PRE-K/HEAD START,68000337,"1495 EPHESUS CHURCH RD, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,35.9336581,-79.0160393,(919) 918-2153,,,Center,True
