school,lat,lon,raw_500m,raw_norm_500m,rank_raw_500m,canopy_500m,net_500m,net_norm_500m,rank_net_500m,raw_1000m,raw_norm_1000m,rank_raw_1000m,canopy_1000m,net_1000m,net_norm_1000m,rank_net_1000m
Carrboro Elementary,35.9149,-79.0786,4.4161,22.9,4,0.7601,2.5365,20.0,4,8.1083,33.8,5,0.7553,4.6789,32.0,4
Seawell Elementary,35.9404,-79.0789,0.7935,4.1,11,0.8208,0.4288,3.4,11,2.0262,8.4,11,0.8533,1.058,7.2,11
Ephesus Elementary,35.9335,-79.0162,1.7154,8.9,8,0.8172,0.9304,7.3,8,7.128,29.7,6,0.7295,4.2159,28.9,6
Estes Hills Elementary,35.9359,-79.0436,2.9329,15.2,7,0.9345,1.3981,11.0,7,4.1921,17.5,10,0.9246,2.0216,13.8,10
Frank Porter Graham Bilingue,35.8997,-79.0725,17.6134,91.3,2,0.7244,10.4682,82.4,2,22.1644,92.4,2,0.8025,12.2043,83.5,2
Glenwood Elementary,35.9063,-79.0266,19.2923,100.0,1,0.6104,12.6977,100.0,1,23.9881,100.0,1,0.6983,14.6083,100.0,1
McDougle Elementary,35.9297,-79.099011,3.1283,16.2,6,0.7264,1.8558,14.6,5,4.4181,18.4,9,0.8041,2.4286,16.6,8
Scroggs Elementary,35.8791,-79.0685,4.6828,24.3,3,0.6592,2.954,23.3,3,8.7832,36.6,3,0.8315,4.6934,32.1,3
Rashkis Elementary,35.9144,-79.0081,0.1772,0.9,12,0.7112,0.1067,0.8,12,0.6288,2.6,12,0.7723,0.3568,2.4,12
Morris Grove Elementary,35.9665,-79.1023,3.7228,19.3,5,0.9115,1.8224,14.4,6,5.0063,20.9,8,0.9363,2.3814,16.3,9
Northside Elementary,35.917543,-79.063168,1.1673,6.1,10,0.8431,0.6161,4.9,10,5.5596,23.2,7,0.679,3.4455,23.6,7
New FPG Location,35.8898,-79.0675,1.3385,6.9,9,0.8092,0.732,5.8,9,8.5551,35.7,4,0.8444,4.5096,30.9,5
